controller,trial,seed,bucket,pick_success,pick_collision,pick_truncated,pick_steps,pick_time_s,pick_reward,pick_reach_distance_m,pick_stay_error_rad,place_success,place_collision,place_truncated,place_steps,place_time_s,place_reward,place_placement_error_m,place_stay_error_rad,cycle_success,cycle_collision,cycle_steps,cycle_time_s,total_reward,inference_calls,inference_total_ms,inference_mean_ms
rl_residual,16,558160547,x_pos__y_mid,True,False,False,459,9.18,-37.79603460484063,0.0009544011673701252,0.0036834446172445312,True,False,False,454,9.08,20.646888268001902,0.0,0.0038611420547483137,True,False,913,18.259999999999998,-17.149146336838726,913,160.510293,0.17580535925520263
rl_residual,17,677753507,x_mid__y_pos,True,False,False,463,9.26,-45.438488714155255,0.0008427351210351911,0.003372486638149556,True,False,False,461,9.22,11.24181485241698,0.0,0.003966034931442922,True,False,924,18.48,-34.196673861738276,924,162.336225,0.1756885551948052
rl_residual,18,1592325382,x_pos__y_mid,True,False,False,435,8.700000000000001,-11.877926390420953,0.000759670251072698,0.003085563126537749,True,False,False,430,8.6,45.11906823170645,0.0,0.0037059517460985678,True,False,865,17.3,33.2411418412855,865,153.201514,0.17711157687861273
rl_residual,19,1791472581,x_mid__y_pos,True,False,False,452,9.040000000000001,-39.815997548336384,0.0013680002746010783,0.005244456423392879,True,False,False,454,9.08,9.744256122583323,0.0,0.003737602795640778,True,False,906,18.12,-30.07174142575306,906,160.275066,0.17690404635761592
rl_residual,20,895268166,x_pos__y_mid,True,False,False,437,8.74,-16.930054918938538,0.000689708712875403,0.0031937062754162464,True,False,False,439,8.78,32.568507473793574,0.0,0.0043379402506699884,True,False,876,17.52,15.638452554855036,876,158.42014,0.18084490867579908
rl_residual,21,1488382292,x_pos__y_neg,True,False,False,440,8.8,-15.76366138277848,0.0007760072098541471,0.0033031700374819054,True,False,False,428,8.56,48.2366689642798,0.0,0.0038257132547660925,True,False,868,17.36,32.47300758150132,868,153.313942,0.17662896543778803
rl_residual,22,1028113186,x_mid__y_pos,True,False,False,438,8.76,-15.320751923042991,0.0007045791771351954,0.0029995630360861287,True,False,False,433,8.66,42.014788410649544,0.0,0.003993743908261137,True,False,871,17.42,26.694036487606553,871,155.686164,0.17874416073478758
rl_residual,23,1932053901,x_mid__y_pos,True,False,False,453,9.06,-28.759627550873148,0.0009257848439823348,0.0036337453998269396,True,False,False,456,9.120000000000001,20.47009880609872,0.0,0.003999586024549774,True,False,909,18.18,-8.28952874477443,909,164.791296,0.18128855445544553
rl_residual,24,1354357233,x_neg__y_neg,True,False,False,470,9.4,-54.835981782492155,0.0011435448610248454,0.004400990028174901,True,False,False,471,9.42,-5.358691550220016,0.0,0.004081173198204528,True,False,941,18.82,-60.19467333271217,941,168.157777,0.17870114452709884
rl_residual,25,1856556549,x_mid__y_pos,True,False,False,454,9.08,-33.336152408655664,0.0009811210967709278,0.0038414412149274046,True,False,False,451,9.02,22.365509943637704,0.0,0.0036690662282296243,True,False,905,18.1,-10.97064246501796,905,160.98578600000002,0.1778848464088398
rl_residual,26,1792490129,x_neg__y_pos,True,False,False,446,8.92,-14.165805531608157,0.001184794683454609,0.004490205283157044,True,False,False,443,8.86,41.00083265282407,0.0,0.0035744709957147664,True,False,889,17.78,26.835027121215916,889,159.71776499999999,0.1796600281214848
rl_residual,27,319615542,x_mid__y_pos,True,False,False,471,9.42,-54.21797662018707,0.0005406772237643734,0.002746536299910033,True,False,False,457,9.14,16.498562471908656,0.0,0.003996425068412594,True,False,928,18.560000000000002,-37.71941414827842,928,166.269089,0.17916927693965518
rl_residual,28,791743123,x_neg__y_mid,True,False,False,469,9.38,-51.840891967202225,0.0008719114941915747,0.0034592847194135335,True,False,False,470,9.4,-2.89851870733429,0.0,0.0035779639530472713,True,False,939,18.78,-54.739410674536515,939,168.714899,0.17967507880724176
rl_residual,29,1982470409,x_neg__y_neg,True,False,False,476,9.52,-64.70141172757747,0.000718364491989082,0.002936650061629926,True,False,False,475,9.5,-9.978240218380307,0.0,0.0035946181213751395,True,False,951,19.02,-74.67965194595777,951,171.97584,0.1808368454258675
rl_residual,30,272244289,x_mid__y_pos,True,False,False,456,9.120000000000001,-44.863378469672625,0.0011701955004374592,0.004587356528319907,True,False,False,454,9.08,9.27751818383797,0.0,0.0040116187875529515,True,False,910,18.200000000000003,-35.585860285834656,910,163.058564,0.17918523516483514
rl_residual,31,139022388,x_mid__y_neg,True,False,False,441,8.82,-17.345840708191616,0.0009637592370515639,0.0037369284858524672,True,False,False,438,8.76,36.18545748880115,0.0,0.0042223313041332,True,False,879,17.58,18.839616780609532,879,158.26897400000001,0.1800557155858931
rl_residual,32,1325685220,x_neg__y_mid,True,False,False,474,9.48,-60.99954502801603,0.0006142140338157726,0.0029219514164297933,True,False,False,469,9.38,-0.3701835330977872,0.0,0.004062377789204396,True,False,943,18.86,-61.36972856111382,943,169.345218,0.17958135524920465
rl_residual,33,886121101,x_pos__y_pos,False,True,False,297,5.94,-1609.8288578622842,0.05110385629514699,2.4670063604818084,False,True,False,294,5.88,-1550.8310610444128,0.0535279609306728,2.4709780466515694,False,True,591,11.82,-3160.659918906697,591,105.875619,0.17914656345177665
rl_residual,34,103378583,x_pos__y_neg,True,False,False,444,8.88,-25.275823217807073,0.00027471603661006664,0.0025796829367675748,True,False,False,439,8.78,32.87609662989257,0.0,0.003948484258555899,True,False,883,17.66,7.6002734120855,883,157.78247399999998,0.1786890985277463
rl_residual,35,1409222576,x_pos__y_mid,True,False,False,457,9.14,-49.604703475843195,0.0011941871099199013,0.004864640907932186,True,False,False,455,9.1,5.042088898620904,0.0,0.004035949074216102,True,False,912,18.240000000000002,-44.56261457722229,912,163.124388,0.1788644605263158
rl_residual,36,1248227006,x_neg__y_neg,False,False,True,650,13.0,-206.29404037938647,0.0007871456197693107,0.0031034098665395165,True,False,False,446,8.92,28.746871853442684,0.0,0.00359807478430782,False,False,1096,21.92,-177.5471685259438,1096,201.618269,0.1839582746350365
rl_residual,37,420309234,x_neg__y_pos,True,False,False,474,9.48,-61.08876226926873,0.0007925977654828716,0.0032674331959047986,True,False,False,474,9.48,-7.524967111124795,0.0,0.003458564852687716,True,False,948,18.96,-68.61372938039352,948,171.849314,0.18127564767932489
rl_residual,38,424123665,x_mid__y_pos,True,False,False,466,9.32,-47.515723637851835,0.0009952223559101076,0.0038745029728771687,True,False,False,461,9.22,11.559661118469563,0.0,0.004164885639704919,True,False,927,18.54,-35.95606251938227,927,167.598004,0.18079612081984897
rl_residual,39,694158663,x_neg__y_neg,True,False,False,445,8.9,-12.847225524671671,0.0011079850863617874,0.004145585992494983,True,False,False,443,8.86,43.36720920256545,0.0,0.0039103683048852,True,False,888,17.759999999999998,30.519983677893777,888,164.109051,0.18480748986486487
rl_residual,40,82024922,x_neg__y_pos,True,False,False,464,9.28,-46.396994722783035,0.000638258002043085,0.002985811571900588,True,False,False,459,9.18,13.691361819776063,0.0,0.003711552921611782,True,False,923,18.46,-32.70563290300697,923,167.762595,0.18175795774647888
rl_residual,41,116404134,x_pos__y_pos,True,False,False,444,8.88,-25.873782047136388,0.00046304686895586576,0.0032589461319880203,True,False,False,447,8.94,21.2703371906496,0.0,0.003918682949532321,True,False,891,17.82,-4.603444856486789,891,162.203716,0.18204681930415262
rl_residual,42,2116430715,x_pos__y_mid,True,False,False,441,8.82,-13.738829491679212,0.000943054274320787,0.003666109114683545,True,False,False,438,8.76,41.04590640490051,0.0,0.004090296283082922,True,False,879,17.58,27.307076913221294,879,158.37127800000002,0.18017210238907852
